시점,항목,죄종별(1),데이터
2002,발생건수 (건),총계," 1,833,271 "
2003,발생건수 (건),총계," 1,894,762 "
2004,발생건수 (건),총계," 1,968,183 "
2005,발생건수 (건),총계," 1,733,122 "
2006,발생건수 (건),총계," 1,719,075 "
2007,발생건수 (건),총계," 1,836,496 "
2008,발생건수 (건),총계," 2,063,737 "
2009,발생건수 (건),총계," 2,020,209 "
2010,발생건수 (건),총계," 1,784,953 "
2011,발생건수 (건),총계," 1,752,598 "
2012,발생건수 (건),총계," 1,793,400 "
2013,발생건수 (건),총계," 1,857,276 "
2014,발생건수 (건),총계," 1,778,966 "
2015,발생건수 (건),총계," 1,861,657 "
2016,발생건수 (건),총계," 1,849,450 "
2017,발생건수 (건),총계," 1,662,341 "
2018,발생건수 (건),총계," 1,580,751 "
2019,발생건수 (건),총계," 1,611,906 "
